Keyword,Clicks,Searches,CTR,Position,"Avg. CPC","Max. CPC",Competition
"iphone 13 pro max nuevo 128gb",1,1,100.0,7.0,,,0
"iphone 13 pro max nuevos",1,1,100.0,9.0,,,0
"iphone 13 pro max original",1,7,14.3,8.6,,,0
"iphone 13 pro max plata",1,26,3.8,13.3,,,0
"iphone 13 pro max plus",1,1,100.0,9.0,,,0
"iphone 13 pro max precio 128gb",1,1,100.0,11.0,,,0
"iphone 13 pro max precio 2024",1,2,50.0,7.0,,,0
"iphone 13 pro max precio 2025",1,1,100.0,6.0,,,0
"iphone 13 pro max precio 256gb",1,1,100.0,6.0,,,0
"iphone 13 pro max precio apple",1,1,100.0,10.0,,,0
"iphone 13 pro max precio at&t",1,2,50.0,1.5,,,0
"iphone 13 pro max precio el salvador claro",1,1,100.0,2.0,,,0
"iphone 13 pro max precio en ecuador",1,1,100.0,2.0,,,0
"iphone 13 pro max precio guatemala",1,2,50.0,2.0,14.18,14.18,0.06
"iphone 13 pro max precio honduras",1,1,100.0,2.0,,,0
"iphone 13 pro max precio perú",1,1,100.0,2.0,2.50,2.50,0.83
"iphone 13 pro max price in mexico",1,4,25.0,6.3,,,0
"iphone 13 pro max promocion",1,1,100.0,8.0,,,0
"iphone 13 pro max que no sea reacondicionado",1,1,100.0,10.0,,,0
"iphone 13 pro max rosa precio",1,3,33.3,4.3,,,0
"iphone 13 pro max seminuevo",1,3,33.3,6.7,,,0
"iphone 13 pro max silver",1,2,50.0,3.5,,,0
"iphone 13 pro max telcel precio",1,1,100.0,5.0,,,0
"iphone 13 pro max verde 256gb",1,1,100.0,7.0,,,0
"iphone 13 pro max verde nuevo",1,1,100.0,4.0,,,0
"iphone 13 pro max. precio",1,4,25.0,10.5,,,0
"iphone 13 pro mex",1,1,100.0,9.0,,,0
"iphone 13 pro msx",1,2,50.0,13.5,,,0
"iphone 13 pro máx colores",1,1,100.0,6.0,,,0
"iphone 13 pro máx nuevo",1,1,100.0,7.0,,,0
"iphone 13 pro máx reacondicionado",1,1,100.0,9.0,,,0
"iphone 13 pro máximo",1,1,100.0,10.0,,,0
"iphone 13 pro no reacondicionado",1,4,25.0,6.5,,,0
"iphone 13 pro nuevo precio",1,5,20.0,1.0,,,0
"iphone 13 pro pink",1,1,100.0,9.0,,,0
"iphone 13 pro precio apple",1,1,100.0,12.0,,,0
"iphone 13 pro precio ecuador",1,1,100.0,2.0,,,0
"iphone 13 pro precio nuevo",1,1,100.0,11.0,,,0
"iphone 13 pro rojo",1,3,33.3,1.0,,,0
"iphone 13 pro rosa 256gb",1,1,100.0,4.0,,,0
"iphone 13 pro verde alpino",1,1,100.0,12.0,,,0
"iphone 13 pro.max precio",1,2,50.0,8.0,,,0
"iphone 13 pro256gb",1,5,20.0,6.0,,,0
"iphone 13 promax 128",1,1,100.0,6.0,,,0
"iphone 13 promax 128 gb",1,1,100.0,7.0,,,0
"iphone 13 promax 128gb",1,1,100.0,3.0,,,0
"iphone 13 promax azul",1,1,100.0,2.0,,,0
"iphone 13 promax precio",1,1,100.0,8.0,,,0
"iphone 13 promos",1,1,100.0,5.0,,,0
"iphone 13 prro max",1,2,50.0,12.0,,,0
"iphone 13 purpura",1,1,100.0,8.0,,,0
"iphone 13 reacondicionado 512gb",1,1,100.0,4.0,,,0
"iphone 13 reacondicionado grado a",1,1,100.0,11.0,,,0
"iphone 13 reacondicionado rosa",1,3,33.3,5.3,,,0
"iphone 13 reacondicionado telcel",1,1,100.0,3.0,,,0
"iphone 13 reacondiconado",1,1,100.0,4.0,,,0
"iphone 13 rebaja",1,1,100.0,3.0,,,0
"iphone 13 reconstruido",1,1,100.0,7.0,,,0
"iphone 13 red 128gb",1,1,100.0,6.0,,,0
"iphone 13 regular precio",1,3,33.3,1.0,,,0
"iphone 13 remanufacturado",1,2,50.0,6.0,,,0
"iphone 13 renovado",1,2,50.0,4.0,,,0
"iphone 13 restaurado",1,1,100.0,4.0,,,0
"iphone 13 rods",1,1,100.0,6.0,,,0
"iphone 13 rojo nuevo",1,1,100.0,1.0,,,0
"iphone 13 rojo reacondicionado",1,3,33.3,3.3,,,0
"iphone 13 rosa 128 gb",1,2,50.0,4.5,,,0
"iphone 13 rosa 128gb nuevo",1,2,50.0,1.0,,,0
"iphone 13 rosa 256",1,1,100.0,11.0,,,0
"iphone 13 rosa precio apple",1,2,50.0,9.0,,,0
"iphone 13 rosa precio en guatemala",1,1,100.0,2.0,,,0
"iphone 13 rosado 128gb",1,2,50.0,6.0,,,0
"iphone 13 rosado nuevo",1,1,100.0,1.0,,,0
"iphone 13 se calienta",1,1,100.0,1.0,,,0
"iphone 13 se recalienta",1,1,100.0,1.0,,,0
"iphone 13 starlight 256gb",1,1,100.0,4.0,,,0
"iphone 13 super retina xdr 6.1",1,4,25.0,10.0,,,0
"iphone 13 tosa",1,2,50.0,2.0,,,0
"iphone 13 vere",1,1,100.0,9.0,,,0
"iphone 13 y 14",1,1,100.0,3.0,,,0
"iphone 13, 256gb",1,1,100.0,7.0,,,0
"iphone 13.",1,2,50.0,6.5,,,0
"iphone 13.rosa",1,1,100.0,1.0,,,0
"iphone 13mini 128",1,1,100.0,7.0,,,0
"iphone 13precio",1,2,50.0,8.5,,,0
"iphone 13pro gris",1,1,100.0,6.0,,,0
"iphone 13pro reacondicionado",1,1,100.0,9.0,,,0
"iphone 14 (256)",1,2,50.0,7.0,,,0
"iphone 14 .",1,2,50.0,5.0,,,0
"iphone 14 049",1,26,3.8,6.9,,,0
"iphone 14 128 blanco",1,1,100.0,8.0,,,0
"iphone 14 128 reacondicionado",1,1,100.0,5.0,,,0
"iphone 14 128gb lila",1,3,33.3,7.0,,,0
"iphone 14 128gb precio nuevo",1,1,100.0,10.0,,,0
"iphone 14 128gb reacondicionado",1,1,100.0,4.0,,,0
"iphone 14 256",1,281,0.4,9.9,,,0
"iphone 14 256 gb",1,3,33.3,4.0,,,0
"iphone 14 256 gb nuevo",1,2,50.0,7.5,,,0
"iphone 14 256 gb reacondicionado",1,1,100.0,11.0,,,0
"iphone 14 256 precio",1,1,100.0,2.0,,,0
"iphone 14 256 reacondicionado",1,4,25.0,7.5,,,0
"iphone 14 256gb nuevo",1,2,50.0,8.5,,,0
"iphone 14 64gb precio",1,1,100.0,6.0,,,0
"iphone 14 =}+",1,1,100.0,4.0,,,0
"iphone 14 a meses sin intereses",1,1,100.0,15.0,,,0
"iphone 14 antel",1,1,100.0,4.0,,,0
"iphone 14 balnco",1,2,50.0,4.0,,,0
"iphone 14 barato nuevo",1,1,100.0,6.0,,,0
"iphone 14 blanco 128gb",1,2,50.0,8.5,,,0
"iphone 14 blanco pro max",1,1,100.0,10.0,,,0
"iphone 14 c",1,1,100.0,7.0,,,0
"iphone 14 color rosa",1,4,25.0,9.0,,,0
"iphone 14 colores precio",1,2,50.0,6.5,,,0
"iphone 14 costo en mexico",1,1,100.0,8.0,,,0
"iphone 14 cuanto sale",1,1,100.0,1.0,,,0
"iphone 14 cuanto vale",1,3,33.3,1.0,,,0
"iphone 14 desbloqueado",1,2,50.0,8.5,,,0
"iphone 14 elektra",1,1,100.0,2.0,,,0
"iphone 14 en blanco",1,1,100.0,3.0,,,0
"iphone 14 en mexico",1,1,100.0,10.0,,,0
"iphone 14 en mexico precio",1,1,100.0,1.0,,,0
"iphone 14 en morado",1,1,100.0,10.0,,,0
"iphone 14 en telcel",1,11,9.1,6.4,,,0
"iphone 14 funda",1,1,100.0,19.0,,,0
"iphone 14 fundas",1,1,100.0,9.0,,,0
"iphone 14 ishop",1,2,50.0,2.0,,,0
"iphone 14 liberado precio",1,2,50.0,5.0,,,0
"iphone 14 lila 128gb",1,1,100.0,4.0,,,0
"iphone 14 liverpool",1,4,25.0,2.0,,,0
"iphone 14 mdn",1,1,100.0,3.0,,,0
"iphone 14 medianoche",1,162,0.6,11.5,,,0
"iphone 14 mejor precio",1,1,100.0,4.0,,,0
"iphone 14 midnight",1,21,4.8,12.6,,,0
"iphone 14 mini reacondicionado",1,2,50.0,7.5,,,0
"iphone 14 morado 128 gb",1,1,100.0,5.0,,,0
"iphone 14 nuevo 128gb",1,1,100.0,10.0,,,0
"iphone 14 oferta nuevo",1,2,50.0,6.5,,,0
"iphone 14 ofertas",1,1,100.0,7.0,,,0
"iphone 14 oro",1,3,33.3,1.3,,,0
"iphone 14 oro max",1,1,100.0,5.0,,,0
"iphone 14 pagar a plazos",1,1,100.0,4.0,,,0
"iphone 14 pfo max",1,2,50.0,4.0,,,0
"iphone 14 pirple",1,1,100.0,4.0,,,0
"iphone 14 pkus",1,1,100.0,5.0,,,0
"iphone 14 plata",1,1,100.0,1.0,,,0
"iphone 14 plus 128",1,1,100.0,3.0,,,0
"iphone 14 plus 128gb reacondicionado",1,3,33.3,4.3,,,0
"iphone 14 plus 256",1,1,100.0,3.0,,,0
"iphone 14 plus 256gb telcel",1,1,100.0,9.0,,,0
"iphone 14 plus 512 precio",1,2,50.0,1.0,,,0
"iphone 14 plus 512gb",1,1,100.0,5.0,,,0
"iphone 14 plus apple",1,2,50.0,5.0,,,0
"iphone 14 plus blanco",1,1,100.0,4.0,,,0
"iphone 14 plus características",1,2,50.0,16.5,,,0
"iphone 14 plus costo",1,1,100.0,1.0,,,0
"iphone 14 plus en blanco",1,1,100.0,5.0,,,0
"iphone 14 plus negro 128gb",1,1,100.0,3.0,,,0
"iphone 14 plus oferta",1,1,100.0,10.0,,,0
"iphone 14 plus precio en mexico",1,1,100.0,1.0,,,0
"iphone 14 plus precio telcel",1,3,33.3,6.0,,,0
"iphone 14 plus reacondicionado",1,104,1.0,8.7,,,0
"iphone 14 plus rojo",1,2,50.0,13.0,,,0
"iphone 14 plus rojo precio",1,1,100.0,1.0,,,0
"iphone 14 plus sim",1,2,50.0,8.5,,,0
"iphone 14 pm",1,2,50.0,11.0,,,0
"iphone 14 por max precio",1,3,33.3,3.3,,,0
"iphone 14 pr",1,3,33.3,5.7,,,0
"iphone 14 pra max",1,1,100.0,7.0,,,0
"iphone 14 precio apple",1,1,100.0,8.0,,,0
"iphone 14 precio colombia",1,1,100.0,2.0,,,0
"iphone 14 precio costa rica gollo",1,1,100.0,2.0,,,0
"iphone 14 precio en telcel",1,2,50.0,6.0,,,0
"iphone 14 precio ishop",1,1,100.0,1.0,,,0
"iphone 14 precio méxico",1,1,100.0,7.0,,,0
"iphone 14 precio peru",1,1,100.0,2.0,,,0
"iphone 14 precio pro max",1,3,33.3,7.7,,,0
"iphone 14 precio.",1,2,50.0,1.5,,,0
"iphone 14 pro 126 gb",1,1,100.0,9.0,,,0
"iphone 14 pro 128 gb precio",1,3,33.3,6.3,,,0
"iphone 14 pro 128 nuevo",1,1,100.0,9.0,,,0
"iphone 14 pro 128gb blanco",1,2,50.0,5.5,,,0
"iphone 14 pro 128gb reacondicionado",1,2,50.0,4.0,,,0
"iphone 14 pro 128gb telcel",1,2,50.0,8.0,,,0
"iphone 14 pro 129 gb",1,1,100.0,10.0,,,0
"iphone 14 pro 256 gb",1,1,100.0,12.0,,,0
"iphone 14 pro 256 gb reacondicionado",1,2,50.0,4.5,,,0
"iphone 14 pro 256 precio",1,1,100.0,8.0,,,0
"iphone 14 pro 256 reacondicionado",1,1,100.0,9.0,,,0
"iphone 14 pro 256gb precio",1,2,50.0,11.0,,,0
"iphone 14 pro 258gb",1,1,100.0,5.0,,,0
"iphone 14 pro barato",1,1,100.0,3.0,,,0
"iphone 14 pro blanco",1,2,50.0,41.5,,,0
"iphone 14 pro carcasa",1,1,100.0,7.0,,,0
"iphone 14 pro chip",1,3,33.3,6.7,,,0
"iphone 14 pro compra",1,1,100.0,10.0,,,0
"iphone 14 pro con ranura sim",1,4,25.0,5.3,,,0
"iphone 14 pro con sim",1,2,50.0,7.0,,,0
"iphone 14 pro de 128",1,1,100.0,14.0,,,0
"iphone 14 pro donde comprar",1,2,50.0,1.0,,,0
"iphone 14 pro en oferta",1,2,50.0,7.0,,,0
"iphone 14 pro en venta",1,1,100.0,8.0,,,0
"iphone 14 pro esim precio",1,2,50.0,7.5,,,0
"iphone 14 pro financiado",1,1,100.0,7.0,,,0
"iphone 14 pro liberado",1,1,100.0,1.0,,,0
"iphone 14 pro max - apple precio",1,3,33.3,6.0,,,0
"iphone 14 pro max .",1,3,33.3,5.0,,,0
"iphone 14 pro max 1 tb",1,8,12.5,3.8,,,0
"iphone 14 pro max 128 gb precio",1,3,33.3,1.0,,,0
"iphone 14 pro max 128 gold",1,1,100.0,3.0,,,0
"iphone 14 pro max 128 precio",1,1,100.0,1.0,,,0
"iphone 14 pro max 128gb morado",1,2,50.0,6.5,,,0
"iphone 14 pro max 128gb negro",1,1,100.0,3.0,,,0
"iphone 14 pro max 128gb oro",1,1,100.0,3.0,,,0
"iphone 14 pro max 1tb precio",1,18,5.6,1.0,,,0
"iphone 14 pro max 1tb precio méxico",1,1,100.0,1.0,,,0
"iphone 14 pro max 2 tb",1,1,100.0,7.0,,,0
"iphone 14 pro max 256 gb nuevo",1,1,100.0,6.0,,,0
"iphone 14 pro max 256 gb price",1,2,50.0,1.0,,,0
"iphone 14 pro max 256 precio",1,2,50.0,8.0,,,0
"iphone 14 pro max 256 reacondicionado",1,4,25.0,9.0,,,0
"iphone 14 pro max 256gb negro",1,3,33.3,3.0,,,0
"iphone 14 pro max 256gb nuevo precio",1,1,100.0,7.0,,,0
"iphone 14 pro max 256gb price",1,2,50.0,7.0,,,0
"iphone 14 pro max 256gb reacondicionado",1,4,25.0,8.3,,,0
"iphone 14 pro max 256gb telcel",1,2,50.0,3.5,,,0
"iphone 14 pro max 500gb precio",1,3,33.3,7.0,,,0
"iphone 14 pro max 512",1,2,50.0,4.0,,,0
"iphone 14 pro max 64 gb",1,1,100.0,8.0,,,0
"iphone 14 pro max azul",1,17,5.9,7.0,,,0
"iphone 14 pro max black",1,3,33.3,4.3,,,0
"iphone 14 pro max bodega aurrera reacondicionado",1,1,100.0,31.0,,,0
"iphone 14 pro max cerca",1,1,100.0,2.0,,,0
"iphone 14 pro max color dorado",1,1,100.0,10.0,,,0
"iphone 14 pro max cost",1,1,100.0,1.0,,,0
"iphone 14 pro max cuánto cuesta",1,1,100.0,1.0,,,0
"iphone 14 pro max de 256",1,2,50.0,5.0,,,0
"iphone 14 pro max de 256 gb",1,4,25.0,5.5,,,0
"iphone 14 pro max de 256 gb precio",1,4,25.0,1.0,,,0
"iphone 14 pro max deep purple",1,1,100.0,5.0,,,0
"iphone 14 pro max dorado precio",1,1,100.0,3.0,,,0
"iphone 14 pro max en",1,1,100.0,9.0,,,0
"iphone 14 pro max en mexico precio",1,3,33.3,10.3,,,0
"iphone 14 pro max en oferta",1,4,25.0,3.5,,,0
"iphone 14 pro max en pagos",1,5,20.0,4.2,,,0
"iphone 14 pro max en telcel precio",1,6,16.7,6.5,,,0
"iphone 14 pro max iphone",1,1,100.0,8.0,,,0
"iphone 14 pro max liberado",1,1,100.0,4.0,,,0
"iphone 14 pro max lila",1,1,100.0,8.0,,,0
"iphone 14 pro max mini",1,7,14.3,7.1,,,0
"iphone 14 pro max morado 256gb",1,3,33.3,8.7,,,0
"iphone 14 pro max msi",1,1,100.0,1.0,,,0
"iphone 14 pro max oro 128gb",1,1,100.0,3.0,,,0
"iphone 14 pro max phone",1,1,100.0,8.0,,,0
"iphone 14 pro max precio bolivia",1,1,100.0,2.0,,,0
"iphone 14 pro max precio cdmx",1,4,25.0,7.2,,,0
"iphone 14 pro max precio el salvador",1,2,50.0,2.0,,,0
"iphone 14 pro max precio en méxico",1,5,20.0,6.8,,,0
"iphone 14 pro max precio morado",1,2,50.0,6.0,,,0
"iphone 14 pro max precio nicaragua",1,1,100.0,2.0,,,0
"iphone 14 pro max precio república dominicana",1,1,100.0,2.0,,,0
"iphone 14 pro max price best buy",1,1,100.0,2.0,,,0
"iphone 14 pro max purple",1,1,100.0,5.0,,,0
"iphone 14 pro max purpura",1,3,33.3,4.7,,,0
"iphone 14 pro max sears",1,1,100.0,2.0,,,0
"iphone 14 pro max shopping",1,1,100.0,6.0,,,0
"iphone 14 pro max sin reacondicionado",1,3,33.3,6.3,,,0
"iphone 14 pro max telcel 128 gb",1,2,50.0,4.0,,,0
"iphone 14 pro max unlocked",1,1,100.0,5.0,,,0
"iphone 14 pro max valor",1,1,100.0,1.0,,,0
"iphone 14 pro maxc",1,1,100.0,7.0,,,0
"iphone 14 pro mexico",1,1,100.0,9.0,,,0
"iphone 14 pro morado 128gb",1,1,100.0,11.0,,,0
"iphone 14 pro morado oscuro",1,1,100.0,1.0,,,0
"iphone 14 pro morado reacondicionado",1,1,100.0,4.0,,,0
"iphone 14 pro mx",1,1,100.0,10.0,,,0
"iphone 14 pro máx 256gb",1,3,33.3,4.7,,,0
"iphone 14 pro máx precio",1,2,50.0,5.5,,,0
"iphone 14 pro máx reacondicionado",1,1,100.0,9.0,,,0
"iphone 14 pro negro",1,45,2.2,9.7,,,0
"iphone 14 pro negro 256gb",1,1,100.0,8.0,,,0
"iphone 14 pro nuevo precio",1,4,25.0,9.5,,,0
"iphone 14 pro oro",1,4,25.0,16.0,,,0
"iphone 14 pro precio 256gb",1,1,100.0,10.0,,,0
"iphone 14 pro reacondicionado sim fisica",1,1,100.0,3.0,,,0
"iphone 14 pro renovado",1,1,100.0,10.0,,,0
"iphone 14 pro sim física",1,2,50.0,2.0,,,0
"iphone 14 pro telcel 128 gb",1,2,50.0,4.0,,,0
"iphone 14 pro telcel 256",1,4,25.0,6.0,,,0
"iphone 14 pro walmart",1,1,100.0,36.0,,,0
"iphone 14 pro.",1,5,20.0,7.2,,,0
"iphone 14 pro.maz",1,1,100.0,9.0,,,0
"iphone 14 pro128",1,2,50.0,10.0,,,0
"iphone 14 probmax",1,2,50.0,4.0,,,0
"iphone 14 promas",1,1,100.0,3.0,,,0
"iphone 14 promax nuevo",1,1,100.0,7.0,,,0
"iphone 14 promocion",1,1,100.0,10.0,,,0
"iphone 14 proreacondicionado",1,1,100.0,8.0,,,0
"iphone 14 prox max",1,1,100.0,8.0,,,0
"iphone 14 prwcio",1,2,50.0,4.5,,,0
"iphone 14 pulgadas",1,3,33.3,6.3,,,0
"iphone 14 purpura",1,3,33.3,6.7,,,0
"iphone 14 reacomdicionado",1,1,100.0,5.0,,,0
"iphone 14 reacondicionado blanco",1,1,100.0,5.0,,,0
"iphone 14 reacondicionado precio",1,1,100.0,6.0,,,0
"iphone 14 rebajas",1,1,100.0,9.0,,,0
"iphone 14 restaurado",1,1,100.0,10.0,,,0
"iphone 14 rosa 256gb",1,1,100.0,10.0,,,0
"iphone 14 rosa nuevo",1,1,100.0,8.0,,,0
"iphone 14 rosa precio",1,1,100.0,7.0,,,0
"iphone 14 rosado",1,1,100.0,5.0,,,0
"iphone 14 rpo max",1,1,100.0,5.0,,,0
"iphone 14 se calienta",1,1,100.0,1.0,,,0
"iphone 14 sim fisica",1,2,50.0,11.5,,,0
"iphone 14 super retina xdr",1,2,50.0,6.5,,,0
"iphone 14 telcel precio",1,3,33.3,4.0,,,0
"iphone 14 tosa",1,1,100.0,5.0,,,0
"iphone 14 usa price",1,1,100.0,2.0,,,0
"iphone 14 venta",1,2,50.0,5.0,,,0
"iphone 14 violeta",1,2,50.0,6.5,,,0
"iphone 14 ñro max",1,2,50.0,2.5,,,0
"iphone 14!",1,2,50.0,5.0,,,0
"iphone 14,pro max",1,1,100.0,5.0,,,0
"iphone 14.pro",1,8,12.5,5.1,,,0
"iphone 14.pro max precio",1,1,100.0,1.0,,,0
"iphone 140 pro max",1,1,100.0,5.0,,,0
"iphone 14?",1,1,100.0,2.0,,,0
"iphone 14pro 128gb",1,2,50.0,8.0,,,0
"iphone 14pro max 128",1,1,100.0,3.0,,,0
"iphone 14pro max 256gb",1,1,100.0,6.0,,,0
"iphone 14pro nuevo",1,1,100.0,10.0,,,0
"iphone 14pro precio",1,2,50.0,1.0,,,0
"iphone 15 .",1,1,100.0,6.0,,,0
"iphone 15 128 colores",1,1,100.0,1.0,,,0
"iphone 15 128 g",1,2,50.0,8.0,,,0
"iphone 15 128 gb azul",1,1,100.0,6.0,,,0
"iphone 15 128 gb características",1,1,100.0,6.0,,,0
"iphone 15 128 gb colores",1,1,100.0,2.0,,,0
"iphone 15 128 gb precio",1,5,20.0,9.6,,,0
"iphone 15 128 gb telcel",1,2,50.0,8.0,,,0
"iphone 15 128 negro",1,1,100.0,4.0,,,0
"iphone 15 128g",1,3,33.3,9.7,,,0
"iphone 15 128gb precio mexico",1,1,100.0,9.0,,,0
"iphone 15 255gb",1,1,100.0,3.0,,,0
"iphone 15 256gb nuevo",1,4,25.0,9.3,,,0
"iphone 15 256gb rosa",1,1,100.0,39.0,,,0
"iphone 15 512",1,1,100.0,9.0,,,0
"iphone 15 512 gb",1,1,100.0,5.0,,,0
"iphone 15 a meses sin intereses",1,1,100.0,3.0,,,0
"iphone 15 azul 128",1,5,20.0,7.2,,,0
"iphone 15 azul 256gb",1,3,33.3,10.7,,,0
"iphone 15 azul claro",1,5,20.0,8.0,,,0
"iphone 15 barato",1,1,100.0,2.0,,,0
"iphone 15 black 128gb",1,4,25.0,10.3,,,0
"iphone 15 blanco",1,3419,0,8.3,,,0
"iphone 15 costo",1,1,100.0,2.0,,,0
"iphone 15 de 1 tera",1,1,100.0,11.0,,,0
"iphone 15 de 128gb",1,1,100.0,11.0,,,0
"iphone 15 de 128gb precio",1,1,100.0,6.0,,,0
"iphone 15 de 256",1,1,100.0,11.0,,,0
"iphone 15 en mexico",1,2,50.0,2.0,,,0
"iphone 15 en oferta",1,2,50.0,9.0,,,0
"iphone 15 en pagos",1,1,100.0,11.0,,,0
"iphone 15 en telcel",1,25,4.0,4.0,,,0
"iphone 15 en venta",1,1,100.0,52.0,,,0
"iphone 15 liberado precio",1,1,100.0,5.0,,,0
"iphone 15 liverpool",1,3,33.3,2.7,,,0
"iphone 15 negro 128gb",1,1,100.0,6.0,,,0
"iphone 15 normal",1,1,100.0,2.0,,,0
"iphone 15 normal 256 gb",1,1,100.0,7.0,,,0
"iphone 15 nuevo barato",1,1,100.0,10.0,,,0
"iphone 15 open box",1,1,100.0,11.0,,,0
"iphone 15 pink",1,1,100.0,10.0,,,0
"iphone 15 plus 128 gb",1,1,100.0,14.0,,,0
"iphone 15 plus 128gb",1,5,20.0,8.4,,,0
"iphone 15 plus 128gb nuevo",1,1,100.0,10.0,,,0
"iphone 15 plus 128gb precio",1,2,50.0,9.0,,,0
"iphone 15 plus 256",1,2,50.0,9.0,,,0
"iphone 15 plus 256 gb precio",1,2,50.0,6.0,,,0
"iphone 15 plus 256gb verde",1,2,50.0,14.0,,,0
"iphone 15 plus barato",1,1,100.0,19.0,,,0
"iphone 15 plus elektra",1,1,100.0,13.0,,,0
"iphone 15 plus precio",1,19,5.3,10.4,,,0
"iphone 15 plus rosa reacondicionado",1,1,100.0,6.0,,,0
"iphone 15 plus verde",1,23,4.3,9.7,,,0
"iphone 15 plus verde 256gb",1,2,50.0,10.0,,,0
"iphone 15 pr",1,8,12.5,7.1,,,0
"iphone 15 precio en mexico",1,5,20.0,2.0,,,0
"iphone 15 precio guatemala",1,2,50.0,2.0,,,0
"iphone 15 precio mexico",1,1,100.0,2.0,,,0
"iphone 15 precio panama",1,1,100.0,2.0,,,0
"iphone 15 precio panamá",1,1,100.0,2.0,,,0
"iphone 15 precio paraguay",1,1,100.0,2.0,,,0
"iphone 15 precios",1,1,100.0,8.0,,,0
"iphone 15 prexio",1,3,33.3,8.7,,,0
"iphone 15 pro (128 gb)",1,1,100.0,9.0,,,0
"iphone 15 pro 128 gb",1,2,50.0,8.0,,,0
"iphone 15 pro 256 telcel",1,2,50.0,10.0,,,0
"iphone 15 pro 256gb precio",1,16,6.3,8.6,,,0
"iphone 15 pro 512gb",1,4,25.0,12.0,,,0
"iphone 15 pro apple",1,1,100.0,7.0,,,0
"iphone 15 pro azul",1,17,5.9,8.1,,,0
"iphone 15 pro azul titanio",1,1,100.0,4.0,,,0
"iphone 15 pro credito",1,1,100.0,6.0,,,0
"iphone 15 pro desbloqueado",1,1,100.0,7.0,,,0
"iphone 15 pro gris",1,5,20.0,14.8,,,0
"iphone 15 pro liberado",1,1,100.0,11.0,,,0
"iphone 15 pro liverpool",1,1,100.0,3.0,,,0
"iphone 15 pro ma",1,1,100.0,5.0,,,0
"iphone 15 pro max 1 tera precio",1,1,100.0,11.0,,,0
"iphone 15 pro max 128gb precio",1,1,100.0,2.0,,,0
"iphone 15 pro max 1tb precio",1,3,33.3,12.3,,,0
"iphone 15 pro max 256 gb precio mexico",1,2,50.0,11.0,,,0
"iphone 15 pro max 256gb color natural",1,1,100.0,1.0,,,0
"iphone 15 pro max 256gb precio mx",1,1,100.0,10.0,,,0
"iphone 15 pro max 256gb reacondicionado",1,4,25.0,11.0,,,0
"iphone 15 pro max 512gb precio",1,60,1.7,13.8,,,0
"iphone 15 pro max 512gb precio mexico",1,1,100.0,8.0,,,0
"iphone 15 pro max 512gb reacondicionado",1,1,100.0,6.0,,,0
"iphone 15 pro max 516 gb",1,1,100.0,4.0,,,0
"iphone 15 pro max a pagos",1,3,33.3,6.3,,,0
"iphone 15 pro max apple",1,1,100.0,7.0,,,0
"iphone 15 pro max banco azteca",1,1,100.0,3.0,,,0
"iphone 15 pro max cerca",1,1,100.0,1.0,,,0
"iphone 15 pro max cuanto cuesta en mexico",1,1,100.0,3.0,,,0
"iphone 15 pro max de 512",1,1,100.0,10.0,,,0
"iphone 15 pro max desbloqueado",1,1,100.0,9.0,,,0
"iphone 15 pro max en mexico precio",1,2,50.0,7.5,,,0
"iphone 15 pro max en telcel",1,4,25.0,10.3,,,0
"iphone 15 pro max funda",1,1,100.0,30.0,,,0
"iphone 15 pro max mas barato",1,1,100.0,1.0,,,0
"iphone 15 pro max mexico",1,1,100.0,9.0,,,0
"iphone 15 pro max mexico precio",1,2,50.0,11.0,,,0
"iphone 15 pro max negro",1,37,2.7,11.1,,,0
"iphone 15 pro max oferta",1,1,100.0,22.0,,,0
"iphone 15 pro max precio 256gb",1,2,50.0,9.0,,,0
"iphone 15 pro max precio at&t",1,1,100.0,6.0,,,0
"iphone 15 pro max precio chile",1,1,100.0,2.0,,,0
"iphone 15 pro max precio en mexico",1,1,100.0,9.0,,,0
"iphone 15 pro max precio honduras",1,1,100.0,2.0,,,0
"iphone 15 pro max precios",1,1,100.0,1.0,,,0
"iphone 15 pro max titanio azul",1,1,100.0,2.0,,,0
"iphone 15 pro max512gb",1,1,100.0,22.0,,,0
"iphone 15 pro negro",1,1,100.0,6.0,,,0
"iphone 15 pro precio en mexico",1,1,100.0,1.0,,,0
"iphone 15 pro price",1,1,100.0,1.0,,,0
"iphone 15 pro price usd",1,1,100.0,11.0,,,0
"iphone 15 pro.",1,1,100.0,4.0,,,0
"iphone 15 reacondicionado walmart",1,1,100.0,18.0,,,0
"iphone 15 rebaja",1,1,100.0,4.0,,,0
"iphone 15 rosa 256gb",1,1,100.0,2.0,,,0
"iphone 15 rosa liverpool",1,1,100.0,4.0,,,0
"iphone 15 rosa precio mexico",1,1,100.0,9.0,,,0
"iphone 15 rosa pro max",1,13,7.7,8.9,,,0
"iphone 15 rosa telcel",1,4,25.0,8.5,,,0
"iphone 15 rosas",1,2,50.0,1.0,,,0
"iphone 15 suburbia",1,1,100.0,3.0,,,0
"iphone 15 telcel precio",1,2,50.0,7.5,,,0
"iphone 15 valor",1,1,100.0,1.0,,,0
"iphone 15 verde 256gb",1,3,33.3,8.3,,,0
"iphone 15. precio",1,1,100.0,7.0,,,0
"iphone 15plus 128",1,2,50.0,5.5,,,0
"iphone 15pro max precio",1,1,100.0,1.0,,,0
"iphone 16 128 gb precio",1,3,33.3,4.0,,,0
